06/19/2024 09:54:41 PM, 06/19/2024 09:54:41 PM, ini, juego1, Inicio-Partida, Team B, Francisco, NULL
06/19/2024 09:54:41 PM, 06/19/2024 09:54:41 PM, ini, juego1, Inicio-Partida, Team B, Claudio, NULL
06/19/2024 09:54:41 PM, 06/19/2024 09:54:41 PM, ini, juego1, Inicio-Partida, Team A, Pepito, NULL
06/19/2024 09:54:41 PM, 06/19/2024 09:54:41 PM, ini, juego1, Lanzar-Dado, Team A, Pepito, NULL
06/19/2024 09:54:43 PM, 06/19/2024 09:54:43 PM, fin, juego1, Lanzar-Dado, Team A, Pepito, 40
06/19/2024 09:54:43 PM, 06/19/2024 09:54:43 PM, ini, juego1, Lanzar-Dado, Team B, Francisco, NULL
06/19/2024 09:54:45 PM, 06/19/2024 09:54:45 PM, fin, juego1, Lanzar-Dado, Team B, Francisco, 37
06/19/2024 09:54:45 PM, 06/19/2024 09:54:45 PM, ini, juego1, Lanzar-Dado, Team A, Pepito, NULL
06/19/2024 09:54:47 PM, 06/19/2024 09:54:47 PM, fin, juego1, Lanzar-Dado, Team A, Pepito, 40
06/19/2024 09:54:47 PM, 06/19/2024 09:54:47 PM, ini, juego1, Lanzar-Dado, Team B, Claudio, NULL
06/19/2024 09:54:49 PM, 06/19/2024 09:54:49 PM, fin, juego1, Lanzar-Dado, Team B, Claudio, 25
06/19/2024 09:54:49 PM, 06/19/2024 09:54:49 PM, ini, juego1, Lanzar-Dado, Team A, Pepito, NULL
06/19/2024 09:54:51 PM, 06/19/2024 09:54:51 PM, fin, juego1, Lanzar-Dado, Team A, Pepito, 39
06/19/2024 09:54:51 PM, 06/19/2024 09:54:51 PM, fin, juego1, Inicio-Partida, Team B, Francisco, NULL
06/19/2024 09:54:51 PM, 06/19/2024 09:54:51 PM, fin, juego1, Inicio-Juego, Team B, Francisco, NULL
06/19/2024 09:54:51 PM, 06/19/2024 09:54:51 PM, fin, juego1, Inicio-Partida, Team B, Claudio, NULL
06/19/2024 09:54:51 PM, 06/19/2024 09:54:51 PM, fin, juego1, Inicio-Juego, Team B, Claudio, NULL
06/19/2024 09:54:51 PM, 06/19/2024 09:54:51 PM, fin, juego1, Inicio-Partida, Team A, Pepito, NULL
06/19/2024 09:54:51 PM, 06/19/2024 09:54:51 PM, fin, juego1, Inicio-Juego, Team A, Pepito, NULL
